from_account,to_account,amount,timestamp,is_fraud
1,2,50.0,2025-08-05 19:50:08.651904,False
528,321,773.03,2024-10-25 15:10:40.873584,False
820,904,212.33,2025-03-01 21:48:19.425662,False
881,454,220.99,2025-06-13 04:46:11.957560,True
646,489,969.35,2025-05-03 07:01:44.419089,True
77,224,235.24,2024-12-08 18:23:31.083878,False
95,541,879.22,2025-03-16 06:27:33.690312,False
593,390,790.04,2025-01-22 21:39:01.661384,False
493,652,275.96,2025-04-23 03:46:05.461394,True
543,505,801.98,2025-05-06 18:59:48.642699,False
600,601,675.07,2025-06-22 20:09:07.479329,False
476,385,107.63,2025-02-08 02:28:27.018441,True
198,126,622.67,2024-12-20 03:49:44.628070,False
897,358,144.72,2024-09-22 00:04:41.718807,True
473,734,621.26,2025-03-11 14:16:14.134258,False
115,675,308.88,2024-12-06 00:55:50.962101,True
682,891,582.37,2024-10-31 07:54:36.922083,False
449,22,110.03,2025-01-05 21:42:47.145868,False
416,97,375.84,2025-02-22 15:20:14.732615,False
328,498,127.46,2025-03-19 14:23:47.226740,False
289,702,815.57,2025-06-09 17:36:56.853503,False
645,614,701.82,2024-12-10 21:50:17.173559,False
134,495,880.16,2025-04-08 06:29:58.811172,False
216,485,352.04,2024-08-06 08:26:34.437491,False
691,123,319.9,2024-10-30 15:11:05.360575,False
317,408,293.17,2024-11-27 01:19:57.707474,True
273,708,872.57,2024-10-24 14:21:34.593308,False
946,582,408.98,2024-10-16 02:09:02.797433,True
223,776,962.64,2024-08-31 07:57:11.305989,False
16,369,659.62,2025-03-10 00:07:32.922557,True
170,916,510.27,2024-09-25 11:28:17.387442,False
996,846,448.5,2025-01-29 11:53:25.676056,False
816,346,152.72,2024-08-15 02:22:43.601456,True
108,985,694.38,2024-08-15 12:29:44.987384,False
930,235,210.03,2024-10-23 17:37:57.185739,False
240,964,256.5,2025-03-19 07:01:04.564840,False
750,449,982.39,2025-02-02 00:00:47.152950,True
550,498,204.61,2024-12-24 11:19:53.558678,False
759,315,917.21,2025-02-04 01:22:31.211254,True
205,874,57.49,2025-01-05 10:16:50.916607,False
149,650,324.96,2025-05-30 10:35:13.338647,False
266,608,46.31,2024-08-10 06:03:14.822822,False
181,860,765.92,2025-04-21 11:35:42.672753,False
221,417,96.22,2025-03-02 06:04:54.816391,False
92,680,877.51,2024-09-03 22:33:17.661549,False
338,123,52.98,2024-08-29 19:47:43.913161,False
408,747,631.13,2024-09-24 11:30:00.432169,False
301,400,753.97,2024-12-19 19:46:33.233565,False
857,273,534.17,2024-08-21 18:39:02.079496,False
979,422,952.93,2025-07-29 12:57:18.706412,True
206,457,536.94,2025-01-19 23:57:46.346758,False
313,156,446.84,2025-04-05 22:50:05.307474,False
69,207,691.31,2025-05-02 02:31:42.587993,True
93,252,20.08,2024-12-26 17:42:46.784887,False
905,866,98.62,2025-05-14 14:58:54.147792,False
989,570,125.68,2025-03-08 02:15:14.842473,True
94,464,887.19,2025-03-21 18:13:47.974167,False
340,584,184.42,2025-01-12 00:14:57.449618,True
568,617,454.34,2025-02-06 17:27:48.467845,False
323,578,835.28,2024-10-08 22:04:37.434128,False
976,74,267.88,2024-11-26 04:06:31.922549,True
528,713,749.28,2025-04-18 13:26:52.566502,False
435,554,57.52,2024-09-13 03:33:42.322619,True
836,619,559.64,2025-01-24 15:01:57.164949,False
818,226,625.14,2025-06-25 04:32:20.655648,True
298,26,533.88,2025-05-21 18:12:50.556184,False
906,766,545.61,2024-12-16 17:17:33.073879,False
76,533,219.25,2025-06-24 08:17:42.768100,False
811,677,979.84,2025-07-31 19:11:33.205319,True
581,342,632.81,2024-09-01 04:39:06.121362,True
120,574,567.65,2024-08-27 01:14:55.937241,True
785,487,523.03,2025-04-09 01:42:26.927765,True
614,690,445.17,2025-01-05 02:20:06.544070,True
228,101,887.21,2025-01-18 19:38:13.578636,False
820,653,778.52,2025-04-18 19:13:56.455318,False
868,441,292.24,2024-10-31 12:55:02.311915,False
764,146,333.86,2024-10-21 03:52:45.976791,True
178,711,21.36,2025-07-28 11:03:39.819601,False
267,906,906.41,2025-05-10 09:37:38.157666,True
437,87,191.03,2024-09-20 12:54:50.221422,False
545,620,830.17,2025-04-26 08:19:06.348415,False
481,284,873.94,2024-11-30 11:28:58.305284,False
467,382,445.25,2025-07-24 01:04:20.488957,True
505,110,455.26,2024-08-30 03:42:04.186459,True
703,354,24.74,2024-12-22 01:50:47.907482,True
552,467,838.88,2024-11-22 05:03:00.735334,False
31,580,371.77,2025-06-08 08:20:01.454789,False
777,704,36.14,2025-06-18 21:39:42.975378,False
567,620,124.62,2024-09-26 23:54:56.501636,False
837,957,493.38,2024-11-20 20:22:32.084526,False
989,948,686.01,2024-11-04 22:31:50.179656,False
706,389,218.62,2025-02-07 14:46:00.701163,False
343,184,764.31,2025-01-27 21:04:21.345443,False
965,599,174.77,2025-01-16 01:27:06.182217,True
852,9,752.24,2025-06-21 01:40:38.622402,True
384,400,608.25,2025-03-24 21:27:28.963492,False
889,773,897.56,2025-05-23 16:54:29.905924,False
918,139,929.49,2025-08-03 04:08:40.627392,True
155,450,809.65,2025-04-10 15:14:24.674798,False
359,385,311.52,2024-09-28 15:47:16.299041,False
970,937,124.78,2025-06-17 06:24:45.076386,False
116,69,172.86,2025-03-31 15:20:54.914360,False
624,673,45.96,2025-05-11 21:51:21.202089,False
422,593,792.27,2024-12-24 08:46:36.843699,False
377,807,406.63,2024-12-08 10:36:57.498075,False
138,296,43.64,2024-08-18 16:34:19.367561,False
805,660,482.59,2024-12-04 21:32:28.468579,False
326,63,562.9,2025-03-01 05:20:33.938255,False
212,213,610.05,2024-08-23 19:26:02.132951,False
591,768,879.48,2024-11-04 02:45:43.705069,True
942,603,736.55,2025-01-20 15:39:04.591941,False
89,786,976.9,2024-10-13 23:13:47.860787,True
856,134,893.19,2025-08-01 20:26:58.083585,False
346,448,798.33,2025-06-18 14:18:27.211768,False
383,100,126.72,2024-12-24 07:57:08.460347,False
